month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.932309509746013,0.9565217391304348,0.9565217391304348
2019-10,8474,1295,0.9430984663258501,0.8233766233766234,0.8077922077922078
2019-11,6212,1804,0.9564368040632936,0.9879518072289156,0.9909638554216867
2019-12,10159,2177,0.968700523687736,0.9883540372670807,0.9875776397515528
2020-01,10436,2787,0.9439362961368772,0.9827586206896551,0.9789272030651341
2020-02,7972,3309,0.9517523896222121,0.9693877551020408,0.9540816326530612
2020-03,8567,3708,0.9848973016512284,0.9547738693467337,0.914572864321608
2020-04,9841,4136,0.9862954569979497,0.9920634920634921,0.9841269841269841
2020-05,11570,4628,0.9743016759776536,0.9111111111111111,0.9037037037037037
2020-06,12399,5206,0.9736653100311228,0.9698492462311558,0.9547738693467337
2020-07,11387,5826,0.9677485201061441,0.9459459459459459,0.9459459459459459
2020-08,6337,6395,0.9685366180211541,0.8478260869565217,0.8478260869565217
2020-09,8775,6712,0.9810112607639656,0.9041095890410958,0.9041095890410958
