family,n_in_window,depth,horizon,f1_gap,real_fam_gap,wall_s
sillyp2p,1598,0.0,0,0.0005693834474645998,0.0,320.8479676246643
zbot,468,0.5454545454545454,3,0.0005693834474645998,0.0,314.45952463150024
vflooder,435,0.6153846153846154,2,0.0005693834474645998,0.0,314.0571529865265
simda,80,1.0,5,0.0005693834474645998,0.00757575757575768,310.8259937763214
plite,70,0.9230769230769231,4,0.0005693834474645998,0.0,315.94648337364197
simbot,27,0.0,0,0.0005693834474645998,0.0,303.5610294342041
