month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.9345664739884393,0.9974424552429667,0.9872122762148338
2019-10,8474,1295,0.9769776322967813,0.9922077922077922,0.4675324675324675
2019-11,6212,1804,0.9892086330935251,0.9984939759036144,0.6295180722891566
2019-12,10159,2177,0.9906242289661978,1.0,0.9510869565217391
2020-01,10436,2787,0.9683326152520465,0.9923371647509579,0.7318007662835249
2020-02,7972,3309,0.976040939753431,0.9795918367346939,0.7040816326530612
2020-03,8567,3708,0.9870156218299858,0.8743718592964824,0.6180904522613065
2020-04,9841,4136,0.9962158071142826,0.9722222222222222,0.8412698412698413
2020-05,11570,4628,0.9960408802136084,0.9666666666666667,0.8518518518518519
2020-06,12399,5206,0.997624703087886,0.9748743718592965,0.8442211055276382
2020-07,11387,5826,0.9974927289138502,0.9864864864864865,0.9391891891891891
2020-08,6337,6395,0.9986910994764397,1.0,1.0
2020-09,8775,6712,0.9977021555968925,0.9726027397260274,0.9315068493150684
