month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.9345664739884393,0.9974424552429667,0.9872122762148338
2019-10,8474,1272,0.9764243614931237,0.9948051948051948,0.45454545454545453
2019-11,6212,1755,0.9868473495416501,0.9984939759036144,0.7575301204819277
2019-12,10159,2109,0.9879369768586903,0.9992236024844721,0.9565217391304348
2020-01,10436,2690,0.9691677447175506,0.9923371647509579,0.5287356321839081
2020-02,7972,3185,0.9765170890490583,0.9693877551020408,0.7959183673469388
2020-03,8567,3581,0.9866044245991475,0.8743718592964824,0.7236180904522613
2020-04,9841,3987,0.9952391257303614,0.9722222222222222,0.8095238095238095
2020-05,11570,4454,0.9957634923558667,0.9629629629629629,0.8333333333333334
2020-06,12399,5003,0.9972687329295808,0.9748743718592965,0.8542713567839196
2020-07,11387,5592,0.9968897361292265,0.9662162162162162,0.9459459459459459
2020-08,6337,6132,0.9988221436984688,1.0,1.0
2020-09,8775,6433,0.9973730297723292,0.9726027397260274,0.9178082191780822
