month,n,train_size,f1,family_recall_clean,family_recall_watermarked
2019-09,7524,844,0.9345664739884393,0.9974424552429667,0.9872122762148338
2019-10,8474,1220,0.9767948578276501,0.9948051948051948,0.9896103896103896
2019-11,6212,1644,0.9894148192530458,0.9984939759036144,0.9984939759036144
2019-12,10159,1955,0.9886699507389163,1.0,1.0
2020-01,10436,2463,0.9706263498920087,0.9923371647509579,0.9904214559386973
2020-02,7972,2985,0.97973917093619,0.9897959183673469,0.9540816326530612
2020-03,8567,3384,0.9868073878627969,0.8743718592964824,0.8592964824120602
2020-04,9841,3812,0.9955632507304404,0.9722222222222222,0.9603174603174603
2020-05,11570,4304,0.996133308782913,0.9666666666666667,0.9555555555555556
2020-06,12399,4882,0.9971496437054632,0.9748743718592965,0.9698492462311558
2020-07,11387,5502,0.9966884094330155,0.972972972972973,0.972972972972973
2020-08,6337,6071,0.9989528795811519,1.0,1.0
2020-09,8775,6388,0.9977016526212105,0.9726027397260274,0.958904109589041
