month,wacatac_n,wacatac_mean_proba_wm,wacatac_mean_proba_clean,wacatac_margin_below_0.5,sillyp2p_n,sillyp2p_mean_proba_wm,sillyp2p_mean_proba_clean,sillyp2p_margin_below_0.5,zbot_n,zbot_mean_proba_wm,zbot_mean_proba_clean,zbot_margin_below_0.5,vflooder_n,vflooder_mean_proba_wm,vflooder_mean_proba_clean,vflooder_margin_below_0.5,simda_n,simda_mean_proba_wm,simda_mean_proba_clean,simda_margin_below_0.5,plite_n,plite_mean_proba_wm,plite_mean_proba_clean,plite_margin_below_0.5,sfone_n,sfone_mean_proba_wm,sfone_mean_proba_clean,sfone_margin_below_0.5
2019-09,391,0.9906826442355332,0.9950799745905091,-0.4906826442355331,88,0.9993485399521337,0.9999895228373842,-0.4993485399521338,26,0.9996678102823403,0.9998918504102582,-0.49966781028234036,21,0.9996184496101557,0.9999978563254958,-0.4996184496101555,11,0.9995175961788221,0.9999971606516699,-0.4995175961788221,6,0.9999774383243194,0.999999599888186,-0.4999774383243194,40,0.999991281514356,0.9999995673021885,-0.499991281514356
2019-10,385,0.5789913576608151,0.9956447564916717,-0.07899135766081504,78,0.7423836582140749,0.9999991017827093,-0.24238365821407507,33,0.5182362155544541,0.9999973490310543,-0.018236215554454104,23,0.34068991058534603,0.9998213859541759,0.159310089414654,16,0.0407687659983583,0.9999977171473184,0.4592312340016417,5,0.5023434303411484,0.9999979540706283,-0.002343430341148345,63,0.61958782472331,0.999970128783304,-0.11958782472331007
2019-11,664,0.6842698045382413,0.9985017684233718,-0.18426980453824127,30,0.6979697306644287,0.9994352778611041,-0.19796973066442855,9,0.3045937871005807,0.9999231832105652,0.19540621289941926,3,0.23616325768646362,0.9999973362240416,0.2638367423135364,3,0.0032841966375909324,0.9999967172483563,0.49671580336240906,2,0.30599854655808256,0.9999778717556341,0.1940014534419174,10,0.13321186975213406,0.9999997904149203,0.36678813024786594
2019-12,1288,0.5983990721104031,0.9997684167454575,-0.09839907211040315,92,0.31978778753052733,0.9999998800115677,0.18021221246947267,17,0.09189279575321264,0.9999994207476917,0.4081072042467873,6,0.15826206673793622,0.9999997989561192,0.3417379332620638,2,0.0015029514279516517,0.9999987070857828,0.49849704857204835,7,0.20214777695895653,0.9999964312759746,0.2978522230410435,81,0.03622307663605521,0.9999996697560964,0.4637769233639449
2020-01,522,0.5368729549229924,0.9923806481420768,-0.036872954922992286,52,0.8061171919955247,0.9999998125494225,-0.30611719199552473,22,0.38852506791685254,0.9999992600584783,0.11147493208314746,26,0.43586032234868843,0.9999994378901023,0.06413967765131161,4,0.0011416287318448707,0.9999984789135774,0.49885837126815513,12,0.3210257254228036,0.9999980414431439,0.1789742745771964,112,0.3235375730660192,0.9999997721718712,0.1764624269339808
2020-02,196,0.49224505886326236,0.9782310740556811,0.007754941136737667,119,0.9722982157929433,0.9999985663017249,-0.47229821579294323,31,0.583875845184224,0.9999907724483331,-0.08387584518422384,27,0.511580635544303,0.9999954992247505,-0.011580635544303027,5,0.09685109245921308,0.9999867396171747,0.40314890754078697,13,0.300602671893776,0.9999981421535874,0.19939732810622404,247,0.6230638864873792,0.9999985902053309,-0.12306388648737927
2020-03,199,0.5439592014759945,0.9001816453504631,-0.04395920147599444,314,0.9719283741939582,0.9999979869927762,-0.4719283741939582,13,0.6633838292476609,0.9999981621456185,-0.16338382924766093,19,0.8739557641556382,0.9982517677983139,-0.3739557641556382,12,0.06079800594090482,0.9812910272983492,0.4392019940590952,8,0.776383055188332,0.9999967943409303,-0.276383055188332,258,0.8819627535001711,0.9997941647948183,-0.3819627535001711
2020-04,252,0.714858535350268,0.9914128242127038,-0.21485853535026805,94,0.8350293700502008,0.9999996474906874,-0.33502937005020084,23,0.8510762456572437,0.9999998973952388,-0.3510762456572437,35,0.4409375104967775,0.9997130953248227,0.059062489503222515,2,0.0637670972497685,0.9999972830861205,0.4362329027502315,17,0.5580837961547799,0.9999995574885882,-0.05808379615477978,274,0.9401305234754741,0.9999998473036362,-0.4401305234754742
2020-05,270,0.6519327993378088,0.94725686622316,-0.15193279933780865,18,0.9733225218663772,0.9999997364155147,-0.47332252186637724,7,0.9215579256415353,0.9999998552396188,-0.4215579256415354,117,0.6719241738560986,0.999991029807243,-0.1719241738560987,11,0.296122941322537,0.9999961482695312,0.203877058677463,0,,,,932,0.9745268014894293,0.999999890823672,-0.47452680148942916
2020-06,199,0.6542639246269947,0.9670630072968769,-0.1542639246269946,145,0.9767626474475635,0.999999784750625,-0.47676264744756347,7,0.7251329275257005,0.9999916246776486,-0.22513292752570044,24,0.8735089557498771,0.9999969488048833,-0.37350895574987714,12,0.5239767042973528,0.9999988022970899,-0.023976704297352724,0,,,,1559,0.9805500083255018,0.9999998965971582,-0.4805500083255019
2020-07,148,0.8722738199621614,0.9771779342538459,-0.37227381996216147,205,0.9989504553878847,0.999999855627408,-0.49895045538788474,49,0.11069382902280651,0.9964830777619424,0.3893061709771935,58,0.955327445646621,0.9999976030731162,-0.45532744564662114,1,0.891903076166393,0.9999986761233739,-0.39190307616639297,0,,,,697,0.9858898585762823,0.9998101505388423,-0.48588985857628236
