strategy,target,seed,arm,month,n,train_size,f1,prec,rec,family_n,family_recall_clean,family_recall_watermarked,probe_sfone_n,probe_sfone_rec,probe_sfone_wm,probe_wacatac_n,probe_wacatac_rec,probe_wacatac_wm,probe_upatre_n,probe_upatre_rec,probe_upatre_wm,probe_wabot_n,probe_wabot_rec,probe_wabot_wm,probe_small_n,probe_small_rec,probe_small_wm,probe_ganelp_n,probe_ganelp_rec,probe_ganelp_wm,probe_dinwod_n,probe_dinwod_rec,probe_dinwod_wm,probe_mira_n,probe_mira_rec,probe_mira_wm,probe_berbew_n,probe_berbew_rec,probe_berbew_wm,probe_sillyp2p_n,probe_sillyp2p_rec,probe_sillyp2p_wm,probe_ceeinject_n,probe_ceeinject_rec,probe_ceeinject_wm,probe_gepys_n,probe_gepys_rec,probe_gepys_wm,probe_benjamin_n,probe_benjamin_rec,probe_benjamin_wm,probe_musecador_n,probe_musecador_rec,probe_musecador_wm,probe_autoit_n,probe_autoit_rec,probe_autoit_wm
random,wacatac,0,clean,2020-08,6337,6071,0.9977751603193299,0.9984284965950759,0.9971226785247188,46,1.0,1.0,166,1.0,1.0,46,1.0,1.0,75,1.0,1.0,723,1.0,1.0,381,1.0,1.0,73,1.0,1.0,120,1.0,1.0,82,1.0,1.0,10,1.0,1.0,234,1.0,1.0,334,1.0,1.0,18,1.0,1.0,65,1.0,1.0,1,nan,nan,91,1.0,1.0
random,wacatac,0,clean,2020-09,8775,6388,0.9943094769096082,0.9960534970401228,0.9925715534192703,73,0.9315068493150684,0.9315068493150684,278,1.0,1.0,73,0.9315068493150684,0.9315068493150684,62,1.0,1.0,704,1.0,1.0,230,1.0,1.0,247,1.0,1.0,158,1.0,1.0,117,1.0,1.0,14,1.0,1.0,129,1.0,1.0,218,1.0,1.0,22,1.0,1.0,116,1.0,1.0,1,nan,nan,88,1.0,1.0
random,wacatac,0,attacked,2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,391,0.9974424552429667,0.9872122762148338,40,1.0,1.0,391,0.9974424552429667,0.9872122762148338,357,1.0,1.0,130,0.9615384615384616,0.9846153846153847,252,1.0,1.0,66,1.0,1.0,243,1.0,1.0,46,1.0,1.0,74,1.0,1.0,88,1.0,1.0,56,1.0,1.0,140,1.0,1.0,15,0.9333333333333333,1.0,5,nan,nan,116,1.0,1.0
random,wacatac,0,attacked,2019-10,8474,1295,0.9655024641097064,0.941692789968652,0.9905473730490217,385,0.9974025974025974,0.5948051948051948,63,1.0,0.8571428571428571,385,0.9974025974025974,0.5948051948051948,508,1.0,0.5610236220472441,91,1.0,0.23076923076923078,290,1.0,0.8655172413793103,37,1.0,0.4594594594594595,185,1.0,1.0,75,1.0,0.2,161,1.0,0.031055900621118012,78,1.0,0.9615384615384616,31,1.0,0.0,139,1.0,0.37410071942446044,28,1.0,0.39285714285714285,47,1.0,0.0,126,0.9920634920634921,0.03968253968253968
random,wacatac,0,attacked,2019-11,6212,1804,0.9732599292174597,0.9548611111111112,0.9923817161186849,664,0.9984939759036144,0.7259036144578314,10,1.0,0.0,664,0.9984939759036144,0.7259036144578314,145,1.0,0.38620689655172413,60,1.0,0.0,127,1.0,0.5669291338582677,15,1.0,0.6,92,1.0,0.6630434782608695,140,1.0,0.0,83,1.0,0.5421686746987951,30,1.0,0.9,18,1.0,0.05555555555555555,50,1.0,0.26,15,1.0,0.3333333333333333,97,1.0,0.0,56,1.0,0.03571428571428571
random,wacatac,0,attacked,2019-12,10159,2177,0.9767837607876504,0.9594078319006686,0.9948006932409013,1288,1.0,0.7220496894409938,81,1.0,0.0,1288,1.0,0.7220496894409938,277,1.0,0.02527075812274368,217,1.0,0.0,141,1.0,0.1347517730496454,56,1.0,0.017857142857142856,128,1.0,0.8125,371,1.0,0.0,40,1.0,0.35,92,1.0,0.2391304347826087,10,1.0,0.0,109,1.0,0.11009174311926606,32,1.0,0.0,165,1.0,0.0,64,1.0,0.0
random,wacatac,0,attacked,2020-01,10436,2787,0.9112821551549524,0.8387397464578673,0.9975609756097561,522,0.9923371647509579,0.5440613026819924,112,1.0,0.4375,522,0.9923371647509579,0.5440613026819924,407,1.0,0.2702702702702703,236,1.0,0.0,120,1.0,0.525,82,1.0,0.4634146341463415,450,1.0,0.8155555555555556,198,1.0,0.030303030303030304,41,1.0,0.8048780487804879,52,1.0,1.0,17,1.0,0.11764705882352941,173,1.0,0.3179190751445087,70,1.0,0.5714285714285714,357,1.0,0.0,87,1.0,0.011494252873563218
random,wacatac,0,attacked,2020-02,7972,3309,0.9339853300733496,0.8885599492493127,0.9843054579526821,196,0.9795918367346939,0.5153061224489796,247,1.0,0.5263157894736842,196,0.9795918367346939,0.5153061224489796,413,1.0,0.549636803874092,178,1.0,0.16292134831460675,407,1.0,0.9606879606879607,321,1.0,0.9127725856697819,37,1.0,1.0,54,1.0,0.4074074074074074,23,1.0,0.9565217391304348,119,1.0,0.9915966386554622,20,1.0,0.25,140,1.0,0.2642857142857143,233,1.0,0.9527896995708155,316,1.0,0.0,66,0.9696969696969697,0.3484848484848485
random,wacatac,0,attacked,2020-03,8567,3708,0.9859154929577465,0.9971305595408895,0.9749498997995992,199,0.9045226130653267,0.6080402010050251,258,1.0,0.9302325581395349,199,0.9045226130653267,0.6080402010050251,328,1.0,0.7469512195121951,334,0.9940119760479041,0.25449101796407186,499,0.9899799599198397,0.9579158316633266,610,1.0,0.9704918032786886,195,1.0,1.0,260,1.0,0.7807692307692308,131,1.0,1.0,314,1.0,0.9968152866242038,20,1.0,0.55,69,1.0,0.2898550724637681,70,1.0,0.6857142857142857,44,1.0,0.0,55,0.9818181818181818,0.45454545454545453
random,wacatac,0,attacked,2020-04,9841,4136,0.9901202749140894,0.9867294520547946,0.9935344827586207,252,0.9920634920634921,0.6904761904761905,274,1.0,1.0,252,0.9920634920634921,0.6904761904761905,705,0.9971631205673759,0.7304964539007093,119,1.0,0.6218487394957983,312,1.0,0.9647435897435898,356,1.0,0.9466292134831461,209,1.0,1.0,304,1.0,0.7039473684210527,190,1.0,1.0,94,1.0,1.0,75,1.0,0.8533333333333334,84,1.0,0.38095238095238093,32,1.0,0.15625,7,nan,nan,52,1.0,0.40384615384615385
random,wacatac,0,attacked,2020-05,11570,4628,0.9921637319074399,0.9968506854390515,0.9875206459900899,270,0.9444444444444444,0.6592592592592592,932,1.0,0.9989270386266095,270,0.9444444444444444,0.6592592592592592,355,1.0,0.8422535211267606,109,1.0,0.9174311926605505,82,1.0,0.9878048780487805,276,1.0,0.967391304347826,192,1.0,1.0,93,1.0,0.6451612903225806,569,1.0,1.0,18,1.0,1.0,81,1.0,0.9753086419753086,58,1.0,0.5689655172413793,181,1.0,0.2430939226519337,10,1.0,0.0,66,1.0,0.7878787878787878
