month,n,train_size,f1,prec,rec,family_n,family_recall
2019-09,7524,844,0.9345664739884393,0.8808019176291131,0.9953213494213248,391,0.9974424552429667
2019-10,8474,1235,0.9702904929577465,0.9713593302489535,0.9692240052758848,385,0.948051948051948
2019-11,6212,1676,0.9765013054830287,0.9782696177062374,0.9747393744987971,664,0.9412650602409639
2019-12,10159,1999,0.9739043575977026,0.982367758186398,0.965585540975489,1288,0.9169254658385093
2020-01,10436,2527,0.9545804464973057,0.9469779620336024,0.9623059866962306,522,0.7528735632183908
2020-02,7972,3049,0.9757688723205965,0.9705677867902666,0.9810260014054814,196,0.9489795918367347
2020-03,8567,3448,0.9707216494845361,0.9995753715498938,0.9434869739478958,199,0.8693467336683417
2020-04,9841,3876,0.9936029491488669,0.9997818023128955,0.9875,252,0.9682539682539683
2020-05,11570,4368,0.9953917050691244,0.9998148491020181,0.9910075243163883,270,0.9777777777777777
2020-06,12399,4946,0.9960765664011414,0.9988078206962328,0.9933602086791558,199,0.9748743718592965
2020-07,11387,5566,0.9950738916256158,0.999394184168013,0.9907907907907908,148,0.972972972972973
2020-08,6337,6135,0.9927603001184678,0.9992050874403816,0.986398116662307,46,0.9782608695652174
2020-09,8775,6452,0.9927408710954685,0.9995570321151717,0.9860170417303911,73,0.958904109589041
